GameID;LeagueIndex;Age;HoursPerWeek;TotalHours;APM;SelectByHotkeys;AssignToHotkeys;MinimapAttacks;MinimapRightClicks;NumberOfPACs;GapBetweenPACs;ActionLatency;ActionsInPAC;TotalMapExplored;WorkersMade;UniqueUnitsMade;ComplexUnitsMade;ComplexAbilityUsed;MaxTimeStamp
52;5;27.0;10.0;3000.0;143.72;2436.55;152.28;76.14;271.94;3361.13;326.68;408.67;47.51;152.28;968.06;32.65;0.0;0.0;127448
56;4;30.0;10.0;200.0;699.61;763.23;232.6;203.53;319.83;2028.0;446.48;753.55;4.04;159.91;516.09;43.6;0.0;130.84;95360
57;3;19.0;20.0;400.0;0.0;716.4;147.71;36.95;376.67;2621.89;292.2;537.35;49.16;140.33;295.42;51.71;0.0;265.88;93852
58;3;32.0;10.0;500.0;0.0;787.43;226.89;0.0;920.9;1641.6;226.88;620.81;9.37;200.19;814.11;53.37;0.0;13.38;51936
60;2;27.0;6.0;70.0;44.46;678.18;176.92;0.0;0.0;1680.69;764.4;987.72;30.96;117.94;258.0;44.22;0.0;0.0;94032
61;1;21.0;8.0;240.0;469.96;568.47;116.81;0.0;31.12;1378.33;940.23;905.31;41.02;116.81;397.15;38.96;0.0;0.0;89012
77;4;20.0;14.0;2708.0;0.0;2040.84;365.13;13.03;286.89;3742.62;52.01;464.32;33.75;189.09;717.21;45.61;189.09;326.01;106308
81;4;18.0;24.0;800.0;0.0;3503.14;363.29;17.33;276.79;2473.82;244.63;521.54;65.66;233.54;908.24;51.92;0.0;0.0;80136
93;4;26.0;4.0;190.0;792.95;262.39;176.83;11.44;114.08;2464.14;396.38;65.5;42.27;108.38;524.77;39.93;74.15;182.53;121520
97;3;18.0;12.0;350.0;674.75;292.87;117.15;16.71;100.41;1999.9;42.44;680.5;43.22;133.88;518.81;58.57;0.0;301.24;82836
98;3;38.0;6.0;1000.0;0.0;3432.53;36.11;60.24;24.12;1890.9;548.72;792.1;62.29;252.92;1035.78;60.24;0.0;0.0;57552
102;5;17.0;16.0;1500.0;817.72;1617.46;298.37;0.0;172.74;2010.05;451.65;64.75;45.31;235.55;863.67;94.22;0.0;157.03;44140
105;4;28.0;8.0;2000.0;508.37;460.33;153.44;12.75;102.3;1841.32;457.9;768.89;3.5;166.23;460.33;76.72;0.0;204.59;54208
106;5;20.0;10.0;120.0;0.0;2377.76;439.2;0.0;65.64;3836.72;283.64;377.95;47.67;146.4;1918.37;50.46;60.58;70.67;137304
118;5;16.0;14.0;350.0;0.0;4645.04;489.44;9.22;323.21;2244.02;670.74;713.25;43.79;249.34;923.49;83.11;166.22;0.0;75060
127;4;26.0;28.0;1100.0;0.0;1822.73;199.2;169.32;239.05;2529.91;404.43;59.94;49.96;159.36;1095.6;49.77;0.0;0.0;69592
132;5;21.0;10.0;800.0;0.0;1837.65;457.51;68.62;480.38;2874.67;30.77;494.85;4.68;228.75;571.89;61.0;0.0;358.38;90904
138;6;21.0;6.0;500.0;0.0;3119.05;291.2;12.96;51.78;2685.49;214.69;505.25;54.89;187.66;698.91;64.74;0.0;388.26;107116
139;5;18.0;20.0;800.0;995.09;508.79;75.07;16.71;400.36;1868.34;227.26;687.32;67.05;191.84;1359.55;58.36;0.0;0.0;83104
140;5;26.0;10.0;500.0;839.17;1977.92;341.7;0.0;0.0;3193.59;512.08;520.49;28.66;203.71;453.41;59.13;0.0;0.0;105484
141;4;17.0;14.0;500.0;0.0;8660.72;333.82;37.08;74.18;3004.36;279.26;451.6;63.4;333.82;834.56;92.73;0.0;0.0;37376
142;4;23.0;20.0;800.0;0.0;1604.71;231.35;54.14;698.98;2407.06;363.93;575.22;67.59;177.21;521.78;54.14;196.9;851.61;140816
144;6;18.0;70.0;2520.0;0.0;19280.04;490.86;0.0;88.63;3892.82;346.04;406.02;41.63;245.43;593.13;81.81;61.34;136.35;101672
149;5;25.0;6.0;800.0;741.17;606.51;142.34;12.41;30.91;2438.42;464.12;718.17;37.94;210.42;643.64;30.91;0.0;0.0;112000
154;5;25.0;20.0;700.0;0.0;974.71;296.11;0.0;86.37;2393.59;267.98;545.98;53.14;271.44;715.61;49.35;0.0;394.82;56180
