GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilityUsed,MaxTimeStamp
52,5,27.0,10.0,3000.0,143718,3515159.0,219697.0,109849.0,392317.0,0.004849036,326677,408673,47.508,0.000219697,13966.0,0.00471,0.0,0.0,127448
55,5,23.0,10.0,5000.0,1292322,3303812.0,259462.0,294057.0,432436.0,0.004307064,329194,423454,48.434,0.000380544,11935.0,0.00865,0.0,20757.0,57812
56,4,30.0,10.0,200.0,699612,1101091.0,33557.0,293624.0,461409.0,0.002925755,446475,753548,4.043,0.000230705,74455.0,0.00629,0.0,18876.0,95360
57,3,19.0,20.0,400.0,1076016,1033542.0,213101.0,0.00533,543409.0,0.003782551,292203,537352,49.155,0.000202446,4262.0,0.00746,0.0,38358.0,93852
58,3,32.0,10.0,500.0,1228908,1136014.0,327326.0,0.0,1328558.0,0.002368299,226885,620813,9.374,0.000288817,11745.0,0.00077,0.0,0.00193,51936
60,2,27.0,6.0,70.0,44457,97839.0,255232.0,0.0,0.0,0.002424706,764405,987719,30.965,0.000170155,37221.0,0.00638,0.0,0.0,94032
61,1,21.0,8.0,240.0,469962,820114.0,168517.0,0.0,0.00449,0.001988496,940227,905311,41.017,0.000168517,57296.0,0.00562,0.0,0.0,89012
72,7,17.0,42.0,10000.0,2126022,9039739.0,67624.0,1163531.0,1253033.0,0.004952464,246117,417671,66.104,0.000447512,22773.0,0.00895,129281.0,24862.0,100556
77,4,20.0,14.0,2708.0,1174884,2944275.0,526771.0,0.00188,413892.0,0.005399406,52014,464321,33.746,0.000272792,10347.0,0.00658,272792.0,47033.0,106308
81,4,18.0,24.0,800.0,1559856,5053908.0,524109.0,0.00025,399321.0,0.003568933,244632,521538,65.664,0.000336927,13103.0,0.00749,0.0,0.0,80136
83,3,16.0,16.0,6000.0,153801,1676615.0,318557.0,0.0,821541.0,0.003772383,234107,480711,70.044,0.000402387,15928.0,117363.0,0.0,0.00168,59644
93,4,26.0,4.0,190.0,792948,378539.0,255102.0,0.00165,164582.0,0.00355497,396381,655,42.269,0.000156353,75708.0,0.00576,106978.0,26333.0,121520
97,3,18.0,12.0,350.0,674754,422522.0,169009.0,0.00241,144865.0,0.002885219,42437,680502,43.222,0.000193153,74847.0,0.00845,0.0,43459.0,82836
98,3,38.0,6.0,1000.0,1194366,4952043.0,0.00521,0.00869,0.00348,0.002727968,548718,792102,62.293,0.000364887,14943.0,0.00869,0.0,0.0,57552
100,5,16.0,30.0,5000.0,1604754,425386.0,431735.0,774584.0,406339.0,0.004571312,362897,468889,54.361,0.000355547,19809.0,0.00889,0.0,0.0,78752
102,5,17.0,16.0,1500.0,817722,2333484.0,430449.0,0.0,249207.0,0.002899864,451654,6475,45.312,0.000339828,1246.0,135931.0,0.0,22655.0,44140
105,4,28.0,8.0,2000.0,508374,664109.0,22137.0,0.00184,14758.0,0.002656434,457902,768889,3.5,0.000239817,66411.0,110685.0,0.0,29516.0,54208
106,5,20.0,10.0,120.0,1606464,3430344.0,63363.0,0.0,0.00947,0.005535163,283636,377947,47.671,0.00021121,27676.0,0.00728,0.00874,10196.0,137304
118,5,16.0,14.0,350.0,1079118,6701306.0,706102.0,0.00133,466294.0,0.00323741,670744,713251,43.786,0.000359712,13323.0,119904.0,239808.0,0.0,75060
127,4,26.0,28.0,1100.0,1147806,2629613.0,287389.0,244281.0,344867.0,0.003649845,404427,59937,49.961,0.000229911,15806.0,0.00718,0.0,0.0,69592
132,5,21.0,10.0,800.0,1151274,2651148.0,660037.0,0.00099,693039.0,0.004147232,30766,494854,4.679,0.000330018,82505.0,0.00088,0.0,51703.0,90904
138,6,21.0,6.0,500.0,1337016,4499795.0,420105.0,0.00187,0.00747,0.003874304,214686,505253,54.892,0.000270735,10083.0,0.00934,0.0,56014.0,107116
139,5,18.0,20.0,800.0,995088,73402.0,108298.0,0.00241,57759.0,0.002695418,227265,687321,67.054,0.000276762,19614.0,0.00842,0.0,0.0,83104
140,5,26.0,10.0,500.0,839172,2853513.0,492966.0,0.0,0.0,0.004607334,512082,520494,28.663,0.000293883,65413.0,0.00853,0.0,0.0,105484
141,4,17.0,14.0,500.0,2166936,12494649.0,481592.0,0.00535,107021.0,0.004334332,279255,451605,63.395,0.000481592,1204.0,133776.0,0.0,0.0,37376
142,4,23.0,20.0,800.0,1298598,2315078.0,333769.0,0.00781,1008408.0,0.003472617,363934,575215,67.587,0.000255653,75276.0,0.00781,284059.0,12286.0,140816
